カテゴリ,質問,回答,参考資料（出典）
アカウント/ログイン,どのようにアカウント登録・ログインできますか？,公式サイトから新規登録（名前・メール・パスワード）後、確認メールで有効化します。ログインはメール/パスワードに加え、GoogleやFacebookのSNSアカウントも利用できます。,Webサービス「EcoTee Creator」の利用ガイド
アカウント/ログイン,デザインの途中保存は可能ですか？,可能です。『保存』ボタンで途中のデザインを保存し、後から再編集できます。,Webサービス「EcoTee Creator」の利用ガイド
デザインツール,デザイン画面の主な機能は？,ドラッグ＆ドロップで画像・テキストを配置、500種以上の素材、リアルタイム3Dプレビュー、Undo/Redo、フォントや色・効果の詳細調整ができます。,Webサービス「EcoTee Creator」の利用ガイド／デザインに関すること／サービス概要
デザインツール,プリント可能な箇所は？,前面・背面・袖にプリント可能で、複数箇所の指定にも対応します。,主要サービス・製品について／Webサービス「EcoTee Creator」の利用ガイド
デザインツール,特殊加工の種類はありますか？,UVカット、防水、抗菌、蛍光プリントなどの特殊加工に対応しています。,主要サービス・製品について／デザインに関すること
価格・商品,おおよその価格帯は？,"ベーシックTシャツは¥2,500〜、スポーツは¥3,200〜、プレミアムは¥3,800〜など、用途に応じたラインがあります。",主要サービス・製品について／商品情報
価格・商品,素材の種類は？,オーガニックコットン、リサイクルPET繊維、竹繊維など、環境配慮素材を選べます。,主要サービス・製品について／Webサービス「EcoTee Creator」の利用ガイド／デザインに関すること
価格・商品,サイズ展開は？,XS〜XXXLまで対応しています。,主要サービス・製品について
注文/支払い,最小ロットは？,個人は1枚から、法人（大量注文）は10枚からです。,サービス提供に関しての各種取り決め
注文/支払い,支払い方法は？,クレジットカード（Visa/MasterCard/AMEX）、銀行振込、コンビニ決済に対応しています。,サービス提供に関しての各種取り決め
校正/修正,校正や修正はできますか？,注文確定前にPDFで校正確認が可能。修正は2回まで無料（3回目以降は1回¥500）。,サービス提供に関しての各種取り決め
キャンセル/変更,キャンセル・内容変更は可能？,キャンセルは注文確定後24時間以内は無料。それ以降/製造開始後は不可。サイズやデザイン変更は確定後12時間以内なら対応可能。,サービス提供に関しての各種取り決め
製造/納期,通常の製造期間は？,通常は5〜7営業日（案件によっては5〜10営業日の幅）。製造完了後、原則3営業日以内に発送されます。,Webサービス「EcoTee Creator」の利用ガイド／主要サービス・製品について／サービス提供に関しての各種取り決め
製造/納期,急ぎ対応はできますか？,"特急料金¥1,000で最短翌営業日発送に対応します。",サービス提供に関しての各種取り決め
配送/送料,送料と無料条件は？,"全国一律¥500。5枚以上の注文で送料無料。離島・遠隔地は追加¥1,000が発生する場合があります。",サービス提供に関しての各種取り決め
配送/送料,配送業者と時間指定は？,環境配慮型のGreen Deliveryを利用。時間帯指定は『午前／12-15時／15-18時／18-21時』から選べます。,サービス提供に関しての各種取り決め／Webサービス「EcoTee Creator」の利用ガイド
配送/送料,配送状況の追跡は可能？,全注文に追跡番号が付与され、発送通知メールのリンクからリアルタイムで追跡できます。,サービス提供に関しての各種取り決め／Webサービス「EcoTee Creator」の利用ガイド
配送/送料,複数配送先に送れますか？,1回の注文で最大5か所まで指定可能（1か所ごとに¥300）。法人は100か所以上も個別相談で対応可能です。,サービス提供に関しての各種取り決め
返品/交換,返品・交換の条件は？,未使用かつタグ付きで到着後7日以内は返品可能。カスタム品は原則返品不可（不良品を除く）。サイズ交換は在庫がある場合に対応（送料はお客様負担）。,サービス提供に関しての各種取り決め
返品/交換,不良品の対応は？,初期不良（破損やプリントミス）はEcoTee負担で良品と交換します。,サービス提供に関しての各種取り決め
サブスクリプション,サブスクの内容と料金は？,"『EcoTee Care』は毎月テーマに沿ったTシャツを1〜5枚お届け。例：1枚プラン月額¥2,200／3枚プラン月額¥6,000。",主要サービス・製品について
サブスクリプション,解約やプラン変更の期限は？,解約は配送予定日の7日前まで。プラン変更はマイページから行え、24時間以内に反映されます。,サービス提供に関しての各種取り決め
法人/大量注文,法人向けの支援はありますか？,専任担当者が付き、ノベルティ大量生産や短納期プラン、特別割引などに対応します。,主要サービス・製品について
海外配送,海外配送は可能？料金は？,"アジア・北米・ヨーロッパ（一部除く）に対応。配送料は¥2,000〜（地域により異なります）。",サービス提供に関しての各種取り決め
サポート,問い合わせ方法と対応時間は？,チャット・メール・電話に対応。電話は平日9:00〜18:00。チャットは原則24時間対応の案内がありますが、取り決めでは平日対応が基本で一部延長運用（〜22:00）です。,Webサービス「EcoTee Creator」の利用ガイド／サービス提供に関しての各種取り決め／サービス概要
代行出荷,代行出荷サービスの内容は？,"製造から発送まで一括対応。個別配送（最大10,000件）や一括配送、配達日時指定、ブランドロゴ入り梱包やギフト対応に対応します。",EcoTeeの代行出荷サービスについて
代行出荷,代行出荷の料金は？,基本料金は1配送先あたり¥300〜。オプション例：ブランドロゴ入りパッケージ¥50/枚、ギフトラッピング¥300/枚、CO2削減オプション¥100/配送。,EcoTeeの代行出荷サービスについて
著作権/データ,アップロードしたデザインの権利は？,アップロードしたデザインはお客様に帰属し、EcoTeeは第三者利用を行いません。,サービス提供に関しての各種取り決め／Webサービス「EcoTee Creator」の利用ガイド
エコ/環境,環境配慮の取り組みは？,水性インクのエコプリント、素材の環境負荷表示（エコインパクト）、カーボンオフセット（生産時：1枚¥100寄付／配送時：1配送¥100追加）などに対応。,主要サービス・製品について／サービス概要／サービス提供に関しての各種取り決め
プロモーション,お得なキャンペーンはありますか？,初回購入者限定15%OFFや、#EcoTeeチャレンジのSNS投稿で次回10%OFFクーポンなどの施策があります。,主要サービス・製品について
